imbgeco,imueclt,imwbcnt,imsmetn,imdfetn,impcntr,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,lrscale,stflife,rlgdgr,gndr,mean_MigEnrich,mean_MigAllow,mean_Trust,lrscale_dummy
10,9,9,3,3,3,9,9,9,8,9,6,7,5,8,8,Female,9.333333333333334,3,8.142857142857142,middle
7,6,4,3,3,2,7,5,3,4,4,7,3,8,10,8,Female,5.666666666666667,2.6666666666666665,4.714285714285714,right
7,7,7,3,3,3,6,7,7,5,5,4,5,3,8,0,Male,7,3,5.571428571428571,middle
2,0,0,2,1,1,0,0,7,0,0,0,0,5,6,5,Female,0.6666666666666666,1.3333333333333333,1,middle
10,10,7,4,4,4,9,10,6,7,6,6,8,3,6,4,Male,9,4,7.428571428571429,middle
7,8,8,4,3,3,7,2,7,6,5,6,8,4,6,3,Male,7.666666666666667,3.3333333333333335,5.857142857142857,middle
5,5,6,4,3,3,8,7,10,3,3,0,5,4,10,7,Male,5.333333333333333,3.3333333333333335,5.142857142857143,middle
8,8,7,4,4,4,6,9,9,3,3,3,3,5,10,1,Male,7.666666666666667,4,5.142857142857143,middle
8,4,5,3,3,3,4,6,8,3,3,6,6,4,8,3,Male,5.666666666666667,3,5.142857142857143,middle
6,4,5,4,3,2,6,7,7,4,5,5,5,4,8,1,Male,5,3,5.571428571428571,middle
6,5,6,4,3,3,8,8,8,7,6,7,7,6,7,5,Female,5.666666666666667,3.3333333333333335,7.285714285714286,middle
9,9,9,4,4,4,6,8,7,5,5,5,7,3,6,4,Female,9,4,6.142857142857143,middle
4,3,4,3,2,2,7,8,8,6,6,6,8,4,8,7,Male,3.6666666666666665,2.3333333333333335,7,middle
8,8,7,3,4,3,7,7,7,4,4,8,7,3,8,2,Male,7.666666666666667,3.3333333333333335,6.285714285714286,middle
10,10,10,4,3,4,10,2,10,10,8,4,6,0,10,8,Female,10,3.6666666666666665,7.142857142857143,left
7,7,8,2,2,3,2,9,6,4,7,6,5,6,6,2,Female,7.333333333333333,2.3333333333333335,5.571428571428571,middle
8,8,7,4,3,3,7,6,7,8,6,7,7,3,7,7,Male,7.666666666666667,3.3333333333333335,6.857142857142857,middle
7,8,8,4,3,3,10,10,8,7,7,8,10,6,10,6,Male,7.666666666666667,3.3333333333333335,8.571428571428571,middle
10,8,5,4,4,4,8,8,8,3,3,0,0,0,10,5,Male,7.666666666666667,4,4.285714285714286,left
5,4,3,3,3,3,4,5,7,4,3,5,5,5,7,0,Female,4,3,4.714285714285714,middle
8,4,4,4,2,2,0,4,10,0,0,3,5,4,6,6,Male,5.333333333333333,2.6666666666666665,3.142857142857143,middle
8,5,5,2,2,1,5,8,8,5,2,0,0,5,5,2,Male,6,1.6666666666666667,4,middle
1,1,1,2,1,3,4,8,9,2,2,5,0,5,7,2,Female,1,2,4.285714285714286,middle
2,5,3,2,1,2,0,0,0,0,0,0,0,5,10,0,Male,3.3333333333333335,1.6666666666666667,0,middle
9,9,8,3,3,3,7,8,8,6,6,8,7,6,8,1,Male,8.666666666666666,3,7.142857142857143,middle
3,3,3,3,3,3,3,2,4,1,2,1,1,5,9,0,Male,3,3,2,middle
0,5,0,1,1,2,1,3,5,0,1,1,5,5,8,5,Female,1.6666666666666667,1.3333333333333333,2.2857142857142856,middle
7,7,7,4,3,3,5,9,9,4,3,5,7,5,8,10,Female,7,3.3333333333333335,6,middle
6,7,7,3,4,3,6,6,5,4,3,2,3,2,10,0,Female,6.666666666666667,3.3333333333333335,4.142857142857143,middle
2,1,0,2,2,1,0,2,6,2,2,0,5,10,9,5,Female,1,1.6666666666666667,2.4285714285714284,right
7,8,5,4,3,3,7,9,10,4,6,5,7,0,10,7,Female,6.666666666666667,3.3333333333333335,6.857142857142857,left
7,8,5,3,2,3,3,8,10,2,3,6,3,7,8,9,Female,6.666666666666667,2.6666666666666665,5,middle
8,8,9,4,3,3,8,8,9,8,7,7,7,8,10,8,Male,8.333333333333334,3.3333333333333335,7.714285714285714,right
NA,4,NA,3,2,2,6,8,8,3,3,2,NA,6,7,0,Male,4,2.3333333333333335,5,middle
9,10,9,3,3,3,7,9,9,6,6,7,8,2,9,4,Male,9.333333333333334,3,7.428571428571429,middle
10,8,9,4,3,3,9,10,10,6,6,4,7,5,9,0,Male,9,3.3333333333333335,7.428571428571429,middle
5,8,8,4,4,4,8,8,5,6,6,7,7,5,9,9,Female,7,4,6.714285714285714,middle
5,4,6,2,3,3,6,8,8,5,5,3,8,5,10,8,Female,5,2.6666666666666665,6.142857142857143,middle
5,4,3,3,2,3,7,5,7,7,6,4,5,5,5,8,Female,4,2.6666666666666665,5.857142857142857,middle
8,9,8,4,4,4,8,9,9,7,7,7,5,5,10,7,Female,8.333333333333334,4,7.428571428571429,middle
4,4,4,2,2,2,3,5,5,3,3,5,5,5,7,4,Female,4,2,4.142857142857143,middle
6,7,6,4,3,3,6,8,5,3,6,3,3,3,4,6,Male,6.333333333333333,3.3333333333333335,4.857142857142857,middle
6,6,7,2,2,1,4,6,8,2,2,3,9,3,9,1,Male,6.333333333333333,1.6666666666666667,4.857142857142857,middle
9,10,9,3,3,3,8,10,9,NA,8,6,0,5,7,7,Female,9.333333333333334,3,6.833333333333333,middle
4,4,4,4,2,2,3,4,9,3,3,2,3,8,5,5,Male,4,2.6666666666666665,3.857142857142857,right
10,9,9,4,4,3,9,9,7,7,6,7,5,4,9,2,Male,9.333333333333334,3.6666666666666665,7.142857142857143,middle
7,7,5,4,3,2,2,6,8,1,0,3,3,5,9,0,Male,6.333333333333333,3,3.2857142857142856,middle
8,7,5,4,3,3,6,9,2,2,3,6,6,3,8,0,Male,6.666666666666667,3.3333333333333335,4.857142857142857,middle
10,2,3,4,2,2,10,7,10,5,3,5,3,5,10,3,Male,5,2.6666666666666665,6.142857142857143,middle
8,3,4,4,3,4,6,9,10,4,6,8,9,4,9,1,Male,5,3.6666666666666665,7.428571428571429,middle
9,8,8,4,4,3,4,5,6,4,4,5,3,3,8,6,Female,8.333333333333334,3.6666666666666665,4.428571428571429,middle
8,10,5,4,3,3,5,2,4,5,4,5,5,5,10,8,Female,7.666666666666667,3.3333333333333335,4.285714285714286,middle
4,6,4,3,3,3,8,9,7,6,7,7,5,6,9,8,Female,4.666666666666667,3,7,middle
7,7,6,3,3,2,8,10,10,7,7,10,8,6,9,6,Male,6.666666666666667,2.6666666666666665,8.571428571428571,middle
7,9,8,4,4,4,6,9,9,6,5,10,10,4,7,0,Female,8,4,7.857142857142857,middle
7,5,5,4,3,3,7,6,8,5,4,6,5,5,8,3,Male,5.666666666666667,3.3333333333333335,5.857142857142857,middle
5,8,5,4,3,3,4,8,8,4,4,6,4,0,10,3,Female,6,3.3333333333333335,5.428571428571429,left
7,7,8,3,3,2,5,4,6,4,3,3,4,4,7,4,Male,7.333333333333333,2.6666666666666665,4.142857142857143,middle
7,7,3,4,3,3,1,2,2,2,1,1,0,4,7,0,Female,5.666666666666667,3.3333333333333335,1.2857142857142858,middle
6,6,4,3,3,3,4,8,8,5,5,6,5,4,9,0,Female,5.333333333333333,3,5.857142857142857,middle
5,5,4,2,2,2,6,9,10,5,5,5,5,4,6,7,Female,4.666666666666667,2,6.428571428571429,middle
4,4,3,3,3,3,3,1,1,1,2,3,3,5,9,5,Female,3.6666666666666665,3,2,middle
2,2,1,4,2,2,3,6,8,3,3,NA,3,NA,5,6,Female,1.6666666666666667,2.6666666666666665,4.333333333333333,NA
10,8,8,3,3,3,3,5,5,5,5,3,7,2,7,0,Male,8.666666666666666,3,4.714285714285714,middle
10,10,10,4,4,4,1,0,1,0,0,2,2,3,7,2,Female,10,4,0.8571428571428571,middle
5,5,5,4,4,4,10,7,9,8,8,6,5,6,7,5,Female,5,4,7.571428571428571,middle
7,8,8,4,4,4,7,8,7,4,3,5,6,3,5,4,Female,7.666666666666667,4,5.714285714285714,middle
2,2,1,3,1,2,1,3,5,0,0,2,NA,8,8,0,Male,1.6666666666666667,2,1.8333333333333333,right
4,4,4,3,3,2,3,0,8,0,2,2,3,7,9,0,Female,4,2.6666666666666665,2.5714285714285716,middle
10,5,6,3,3,3,5,8,10,3,4,3,3,7,4,0,Female,7,3,5.142857142857143,middle
6,6,7,4,3,3,4,6,7,3,3,4,4,6,9,10,Female,6.333333333333333,3.3333333333333335,4.428571428571429,middle
5,7,6,3,3,3,6,6,8,5,5,5,6,5,8,7,Female,6,3,5.857142857142857,middle
5,5,9,3,3,2,8,8,9,6,5,4,6,5,9,9,Male,6.333333333333333,2.6666666666666665,6.571428571428571,middle
7,4,4,1,3,3,4,5,5,4,4,5,4,2,8,6,Female,5,2.3333333333333335,4.428571428571429,middle
6,3,1,3,3,2,3,7,10,3,5,5,6,2,10,7,Female,3.3333333333333335,2.6666666666666665,5.571428571428571,middle
5,5,5,3,2,2,7,8,8,6,6,6,3,2,6,4,Female,5,2.3333333333333335,6.285714285714286,middle
8,6,7,4,3,3,9,9,9,7,7,7,8,3,8,7,Female,7,3.3333333333333335,8,middle
5,6,3,3,3,3,7,8,9,7,6,6,6,6,9,3,Male,4.666666666666667,3,7,middle
9,8,5,4,3,3,5,2,0,3,2,4,5,NA,10,2,Male,7.333333333333333,3.3333333333333335,3,NA
7,7,9,3,3,3,3,5,2,3,3,3,3,4,9,7,Female,7.666666666666667,3,3.142857142857143,middle
8,8,5,4,3,3,7,9,9,3,2,5,7,5,9,7,Female,7,3.3333333333333335,6,middle
2,9,5,3,2,2,5,5,9,3,2,3,5,2,9,0,Male,5.333333333333333,2.3333333333333335,4.571428571428571,middle
7,8,5,3,2,3,0,0,0,0,1,0,0,5,7,5,Male,6.666666666666667,2.6666666666666665,0.14285714285714285,middle
8,8,8,4,3,3,8,8,10,5,5,5,6,3,8,7,Male,8,3.3333333333333335,6.714285714285714,middle
5,3,5,3,2,2,4,8,8,5,7,3,3,5,7,7,Male,4.333333333333333,2.3333333333333335,5.428571428571429,middle
6,1,4,2,2,2,2,10,8,3,3,7,7,3,5,0,Male,3.6666666666666665,2,5.714285714285714,middle
2,5,2,3,3,1,4,1,6,0,1,1,0,NA,7,0,Male,3,2.3333333333333335,1.8571428571428572,NA
8,6,3,3,2,2,0,0,2,0,0,0,1,0,8,2,Male,5.666666666666667,2.3333333333333335,0.42857142857142855,left
7,8,7,3,3,3,7,8,7,5,5,7,9,4,8,5,Male,7.333333333333333,3,6.857142857142857,middle
3,2,1,3,2,2,1,1,2,1,1,1,1,5,8,0,Female,2,2.3333333333333335,1.1428571428571428,middle
10,7,5,4,NA,4,3,5,8,0,3,3,6,0,6,0,Male,7.333333333333333,4,4,left
5,7,6,3,2,2,6,4,8,6,5,3,3,5,8,8,Male,6,2.3333333333333335,5,middle
5,6,5,3,2,3,4,6,8,3,4,4,4,4,3,7,Female,5.333333333333333,2.6666666666666665,4.714285714285714,middle
8,7,5,3,3,3,6,4,7,3,3,7,8,5,9,8,Female,6.666666666666667,3,5.428571428571429,middle
0,5,3,4,2,3,0,2,5,5,0,0,0,3,5,9,Female,2.6666666666666665,3,1.7142857142857142,middle
6,9,7,3,3,3,8,9,9,6,7,8,8,4,8,2,Female,7.333333333333333,3,7.857142857142857,middle
NA,8,NA,4,3,4,8,0,10,10,10,NA,NA,5,10,10,Female,8,3.6666666666666665,7.6,middle
6,6,5,3,3,3,5,3,4,3,5,4,6,2,8,2,Female,5.666666666666667,3,4.285714285714286,middle
7,6,7,4,4,4,8,9,7,6,7,8,8,6,8,4,Male,6.666666666666667,4,7.571428571428571,middle
1,1,0,3,2,2,1,2,6,0,0,0,0,5,6,2,Female,0.6666666666666666,2.3333333333333335,1.2857142857142858,middle
2,1,1,2,3,2,2,5,8,1,1,0,0,5,8,4,Male,1.3333333333333333,2.3333333333333335,2.4285714285714284,middle
7,5,5,2,2,1,5,7,7,2,5,5,5,7,9,0,Male,5.666666666666667,1.6666666666666667,5.142857142857143,middle
7,8,5,4,4,4,2,4,2,2,2,1,0,2,8,10,Male,6.666666666666667,4,1.8571428571428572,middle
0,2,0,3,2,2,2,1,0,0,4,5,5,5,5,5,Male,0.6666666666666666,2.3333333333333335,2.4285714285714284,middle
10,10,9,4,3,4,5,8,8,7,6,5,7,3,8,5,Male,9.666666666666666,3.6666666666666665,6.571428571428571,middle
9,10,10,4,3,3,8,8,8,6,5,5,7,5,10,0,Female,9.666666666666666,3.3333333333333335,6.714285714285714,middle
7,6,6,4,3,3,5,3,6,4,3,6,2,3,9,5,Male,6.333333333333333,3.3333333333333335,4.142857142857143,middle
3,5,5,3,2,1,0,2,3,0,0,0,3,5,5,0,Male,4.333333333333333,2,1.1428571428571428,middle
4,3,3,3,2,2,2,4,8,2,2,2,3,5,6,5,Male,3.3333333333333335,2.3333333333333335,3.2857142857142856,middle
7,1,5,3,2,1,6,6,8,5,5,7,7,1,9,0,Male,4.333333333333333,2,6.285714285714286,left
6,10,6,3,3,3,5,8,8,3,3,3,0,0,10,9,Female,7.333333333333333,3,4.285714285714286,left
8,8,8,3,3,3,5,7,7,4,3,5,5,6,8,2,Female,8,3,5.142857142857143,middle
4,3,5,4,1,2,0,0,4,1,0,0,3,7,7,6,Male,4,2.3333333333333335,1.1428571428571428,middle
6,9,8,4,4,4,7,8,10,5,6,7,6,5,8,0,Male,7.666666666666667,4,7,middle
6,8,7,4,4,4,6,7,7,4,3,NA,6,3,8,6,Female,7,4,5.5,middle
6,7,5,4,3,3,6,7,7,5,5,6,5,7,8,7,Female,6,3.3333333333333335,5.857142857142857,middle
4,9,9,4,4,3,4,7,7,4,4,6,7,2,7,0,Male,7.333333333333333,3.6666666666666665,5.571428571428571,middle
8,6,5,3,3,2,4,6,6,3,3,6,1,4,9,6,Female,6.333333333333333,2.6666666666666665,4.142857142857143,middle
6,7,6,3,3,3,8,6,6,5,5,3,3,4,6,7,Female,6.333333333333333,3,5.142857142857143,middle
8,7,5,3,3,3,7,4,4,5,4,NA,NA,7,6,8,Male,6.666666666666667,3,4.8,middle
6,6,6,3,2,2,4,9,10,0,0,1,7,5,10,1,Male,6,2.3333333333333335,4.428571428571429,middle
3,2,3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5,8,Female,2.6666666666666665,NA,10,NA
7,9,5,3,3,3,6,NA,8,6,5,NA,6,2,9,5,Female,7,3,6.2,middle
8,9,7,3,3,3,7,7,8,5,5,7,7,3,4,4,Female,8,3,6.571428571428571,middle
5,5,5,3,2,2,3,7,6,3,2,3,3,2,8,0,Female,5,2.3333333333333335,3.857142857142857,middle
7,3,8,4,2,4,1,5,8,1,0,1,NA,4,9,3,Female,6,3.3333333333333335,2.6666666666666665,middle
7,7,5,4,3,2,5,8,8,4,4,4,6,6,6,5,Male,6.333333333333333,3,5.571428571428571,middle
7,6,5,3,3,3,6,5,4,4,3,3,3,4,8,1,Male,6,3,4,middle
5,7,3,3,2,2,3,3,6,4,2,2,2,7,10,10,Female,5,2.3333333333333335,3.142857142857143,middle
6,7,9,4,4,4,5,8,9,4,1,3,4,2,6,3,Female,7.333333333333333,4,4.857142857142857,middle
4,4,4,3,3,3,4,5,5,5,5,5,5,5,10,7,Female,4,3,4.857142857142857,middle
5,10,7,4,2,1,3,3,10,3,6,8,6,0,3,5,Female,7.333333333333333,2.3333333333333335,5.571428571428571,left
10,8,7,4,3,3,5,8,8,5,3,7,8,5,9,3,Male,8.333333333333334,3.3333333333333335,6.285714285714286,middle
9,9,7,3,2,3,5,7,4,4,5,6,7,1,8,1,Male,8.333333333333334,2.6666666666666665,5.428571428571429,left
5,5,3,2,2,2,8,9,9,4,4,8,8,2,7,2,Male,4.333333333333333,2,7.142857142857143,middle
8,10,5,4,4,4,5,5,7,5,5,5,5,3,10,0,Female,7.666666666666667,4,5.285714285714286,middle
4,7,3,3,3,3,7,5,7,2,3,3,4,4,8,1,Male,4.666666666666667,3,4.428571428571429,middle
3,3,3,2,2,2,3,4,7,3,4,5,3,5,8,8,Male,3,2,4.142857142857143,middle
8,8,5,2,2,2,5,8,4,2,3,4,6,5,7,10,Male,7,2,4.571428571428571,middle
8,7,2,4,2,2,7,7,9,5,6,7,4,6,9,8,Male,5.666666666666667,2.6666666666666665,6.428571428571429,middle
6,7,6,3,3,2,9,7,7,5,5,6,4,4,6,6,Female,6.333333333333333,2.6666666666666665,6.142857142857143,middle
6,7,6,3,3,3,7,8,8,7,5,NA,NA,NA,9,NA,Female,6.333333333333333,3,7,NA
9,9,7,4,4,3,8,5,5,4,5,7,7,2,8,2,Male,8.333333333333334,3.6666666666666665,5.857142857142857,middle
9,8,6,4,4,4,8,6,7,4,5,7,4,4,7,6,Male,7.666666666666667,4,5.857142857142857,middle
8,8,5,3,3,3,6,5,7,4,4,5,6,2,8,5,Female,7,3,5.285714285714286,middle
8,8,6,3,3,2,4,7,8,4,3,5,6,5,9,1,Female,7.333333333333333,2.6666666666666665,5.285714285714286,middle
0,0,0,3,1,1,0,2,0,0,0,1,0,10,10,0,Male,0,1.6666666666666667,0.42857142857142855,right
5,5,5,4,4,4,5,5,5,3,3,2,3,5,5,7,Female,5,4,3.7142857142857144,middle
8,6,5,4,4,4,9,9,9,8,8,8,7,5,9,7,Female,6.333333333333333,4,8.285714285714286,middle
8,6,5,3,3,3,6,6,8,5,4,4,6,3,9,4,Female,6.333333333333333,3,5.571428571428571,middle
NA,8,5,4,4,4,4,9,8,3,8,3,9,NA,10,0,Female,6.5,4,6.285714285714286,NA
5,5,5,3,3,2,2,5,5,1,1,1,NA,5,5,5,Female,5,2.6666666666666665,2.5,middle
7,5,8,4,4,4,6,7,10,6,7,8,6,5,8,4,Male,6.666666666666667,4,7.142857142857143,middle
3,1,0,3,3,2,0,3,10,0,2,0,0,5,7,0,Male,1.3333333333333333,2.6666666666666665,2.142857142857143,middle
2,4,4,3,2,3,4,6,8,2,2,2,2,5,4,7,Female,3.3333333333333335,2.6666666666666665,3.7142857142857144,middle
3,2,2,3,3,2,3,6,8,3,2,5,5,7,10,5,Female,2.3333333333333335,2.6666666666666665,4.571428571428571,middle
7,8,6,3,3,3,5,4,6,4,4,3,3,4,8,2,Female,7,3,4.142857142857143,middle
7,7,4,3,3,2,5,6,8,4,3,4,4,5,9,0,Female,6,2.6666666666666665,4.857142857142857,middle
1,1,2,2,2,1,1,5,9,1,1,1,1,NA,5,2,Female,1.3333333333333333,1.6666666666666667,2.7142857142857144,NA
4,3,2,2,2,2,0,6,8,2,1,4,4,5,8,0,Male,3,2,3.5714285714285716,middle
9,10,9,4,4,4,10,10,9,9,8,7,7,3,9,4,Male,9.333333333333334,4,8.571428571428571,middle
8,5,5,3,2,3,5,7,8,4,4,5,7,3,4,5,Male,6,2.6666666666666665,5.714285714285714,middle
7,4,5,3,3,3,4,3,7,6,6,5,5,7,9,3,Male,5.333333333333333,3,5.142857142857143,middle
10,7,5,2,NA,2,7,9,10,3,3,7,7,4,8,1,Female,7.333333333333333,2,6.571428571428571,middle
4,5,6,2,2,2,6,7,7,5,5,7,7,4,9,1,Male,5,2,6.285714285714286,middle
7,8,4,4,3,2,6,4,8,0,0,2,2,5,10,6,Female,6.333333333333333,3,3.142857142857143,middle
4,3,4,4,2,3,4,7,6,2,4,3,5,6,7,5,Female,3.6666666666666665,3,4.428571428571429,middle
5,4,6,3,3,3,0,2,2,0,0,0,0,5,7,0,Female,5,3,0.5714285714285714,middle
5,8,6,3,3,3,7,6,7,6,6,5,5,8,7,6,Male,6.333333333333333,3,6,right
5,7,5,4,4,4,0,3,3,0,0,0,0,2,7,0,Male,5.666666666666667,4,0.8571428571428571,middle
7,6,3,4,3,2,8,7,8,5,5,7,7,5,8,6,Female,5.333333333333333,3,6.714285714285714,middle
NA,NA,NA,NA,4,4,0,2,2,2,0,0,5,2,3,NA,Male,NA,4,1.5714285714285714,middle
0,2,0,2,2,2,0,0,2,0,0,0,0,5,5,0,Female,0.6666666666666666,2,0.2857142857142857,middle
7,9,6,3,3,3,2,7,8,2,2,5,5,NA,8,0,Female,7.333333333333333,3,4.428571428571429,NA
9,9,9,3,3,3,6,8,5,5,6,7,9,2,8,3,Male,9,3,6.571428571428571,middle
6,8,5,4,3,2,6,9,9,7,6,5,7,6,10,8,Male,6.333333333333333,3,7,middle
10,7,5,4,4,4,8,9,7,5,5,5,6,3,7,0,Male,7.333333333333333,4,6.428571428571429,middle
0,0,0,3,3,4,0,5,10,5,10,5,10,5,10,0,Male,0,3.3333333333333335,6.428571428571429,middle
4,5,4,4,3,3,7,9,10,4,6,5,5,5,5,0,Female,4.333333333333333,3.3333333333333335,6.571428571428571,middle
5,7,10,4,2,2,5,10,10,5,5,10,5,1,5,0,Male,7.333333333333333,2.6666666666666665,7.142857142857143,left
6,6,6,3,3,3,4,4,7,3,4,5,6,5,9,5,Male,6,3,4.714285714285714,middle
10,9,9,4,4,3,7,7,7,4,5,7,8,7,10,2,Female,9.333333333333334,3.6666666666666665,6.428571428571429,middle
7,3,7,2,2,3,0,0,0,2,2,3,4,2,0,0,Female,5.666666666666667,2.3333333333333335,1.5714285714285714,middle
7,10,10,4,4,4,6,6,6,6,5,5,5,5,3,0,Male,9,4,5.571428571428571,middle
7,8,5,3,3,3,5,10,8,5,5,0,9,5,9,5,Male,6.666666666666667,3,6,middle
7,7,5,3,3,3,6,9,7,5,5,5,5,2,8,7,Female,6.333333333333333,3,6,middle
4,5,4,3,3,3,7,6,7,3,3,NA,8,5,7,5,Male,4.333333333333333,3,5.666666666666667,middle
8,9,6,4,4,4,6,8,7,4,5,6,5,5,5,9,Female,7.666666666666667,4,5.857142857142857,middle
2,2,2,3,1,1,5,5,3,6,5,0,3,4,4,0,Male,2,1.6666666666666667,3.857142857142857,middle
5,0,2,3,2,3,4,3,3,2,2,3,2,7,7,8,Female,2.3333333333333335,2.6666666666666665,2.7142857142857144,middle
5,5,4,3,2,3,6,6,9,6,6,6,6,5,9,6,Female,4.666666666666667,2.6666666666666665,6.428571428571429,middle
6,7,6,3,2,2,6,3,7,6,6,7,4,5,3,5,Female,6.333333333333333,2.3333333333333335,5.571428571428571,middle
7,9,8,4,4,4,9,6,9,7,8,8,9,3,9,5,Male,8,4,8,middle
3,0,3,2,2,1,2,0,3,0,2,0,NA,5,0,1,Female,2,1.6666666666666667,1.1666666666666667,middle
6,9,7,3,3,3,9,10,10,5,6,9,10,3,9,3,Female,7.333333333333333,3,8.428571428571429,middle
5,4,5,NA,1,1,5,8,10,2,5,2,2,5,6,0,Female,4.666666666666667,1,4.857142857142857,middle
7,6,7,4,3,3,5,4,4,5,6,7,5,3,8,4,Male,6.666666666666667,3.3333333333333335,5.142857142857143,middle
5,2,3,3,2,2,7,7,7,3,5,6,5,5,9,5,Female,3.3333333333333335,2.3333333333333335,5.714285714285714,middle
7,7,5,4,4,3,8,7,8,6,6,6,7,3,7,7,Male,6.333333333333333,3.6666666666666665,6.857142857142857,middle
6,5,4,3,2,2,0,10,10,0,0,0,6,5,7,0,Male,5,2.3333333333333335,3.7142857142857144,middle
6,6,7,4,4,4,6,7,5,4,4,4,6,6,4,3,Male,6.333333333333333,4,5.142857142857143,middle
5,7,5,3,3,3,5,7,7,5,5,7,5,0,8,0,Male,5.666666666666667,3,5.857142857142857,left
10,10,10,4,4,4,5,0,8,3,0,7,7,4,10,6,Female,10,4,4.285714285714286,middle
10,8,6,4,2,2,8,9,8,7,7,5,4,4,2,1,Male,8,2.6666666666666665,6.857142857142857,middle
5,4,5,3,2,3,8,8,10,6,9,8,5,1,8,8,Female,4.666666666666667,2.6666666666666665,7.714285714285714,left
4,3,4,3,2,3,3,3,5,2,0,3,6,6,3,5,Female,3.6666666666666665,2.6666666666666665,3.142857142857143,middle
5,3,5,4,3,2,6,9,9,6,6,5,7,2,9,7,Male,4.333333333333333,3,6.857142857142857,middle
7,8,7,4,4,4,6,8,9,6,5,7,9,4,9,4,Female,7.333333333333333,4,7.142857142857143,middle
7,5,5,4,3,3,7,8,10,5,5,4,4,5,8,5,Female,5.666666666666667,3.3333333333333335,6.142857142857143,middle
4,6,6,3,2,3,4,5,6,3,3,3,3,5,8,6,Female,5.333333333333333,2.6666666666666665,3.857142857142857,middle
8,8,6,4,4,4,7,7,4,4,3,3,1,3,8,8,Female,7.333333333333333,4,4.142857142857143,middle
7,6,7,4,4,4,5,6,7,4,5,5,4,5,8,3,Male,6.666666666666667,4,5.142857142857143,middle
3,6,4,3,2,2,5,5,9,2,2,4,6,5,10,1,Female,4.333333333333333,2.3333333333333335,4.714285714285714,middle
6,5,3,3,2,2,3,7,7,2,2,3,3,5,10,0,Male,4.666666666666667,2.3333333333333335,3.857142857142857,middle
10,8,5,4,3,3,5,4,9,5,5,5,5,6,5,10,Female,7.666666666666667,3.3333333333333335,5.428571428571429,middle
5,9,6,4,3,3,5,7,7,5,4,2,2,4,8,2,Male,6.666666666666667,3.3333333333333335,4.571428571428571,middle
5,6,5,4,3,3,6,9,9,5,5,6,7,4,8,3,Male,5.333333333333333,3.3333333333333335,6.714285714285714,middle
5,5,5,3,3,3,3,5,7,3,3,3,3,5,8,5,Female,5,3,3.857142857142857,middle
7,6,9,3,3,3,8,10,10,7,7,8,9,10,9,7,Male,7.333333333333333,3,8.428571428571429,right
5,5,5,3,3,3,5,8,8,2,2,5,2,2,8,7,Female,5,3,4.571428571428571,middle
5,5,5,3,3,3,3,8,7,3,3,5,5,4,5,1,Male,5,3,4.857142857142857,middle
7,8,5,3,3,2,5,8,9,4,4,4,6,5,9,6,Male,6.666666666666667,2.6666666666666665,5.714285714285714,middle
5,5,5,3,2,2,NA,6,6,0,0,0,0,3,8,5,Female,5,2.3333333333333335,2,middle
5,7,5,4,2,2,5,7,8,4,1,3,1,5,4,2,Male,5.666666666666667,2.6666666666666665,4.142857142857143,middle
5,2,5,4,2,2,5,1,1,1,3,5,6,5,9,0,Male,4,2.6666666666666665,3.142857142857143,middle
6,3,4,3,3,2,4,3,7,3,4,5,5,4,6,0,Male,4.333333333333333,2.6666666666666665,4.428571428571429,middle
7,9,5,4,4,4,10,9,10,8,7,8,8,5,9,2,Male,7,4,8.571428571428571,middle
7,4,7,4,3,2,4,3,2,0,4,4,4,4,4,8,Female,6,3,3,middle
6,6,5,3,3,3,8,10,7,3,5,5,6,6,10,4,Male,5.666666666666667,3,6.285714285714286,middle
8,9,8,4,3,3,7,8,8,6,6,7,7,3,8,8,Female,8.333333333333334,3.3333333333333335,7,middle
8,10,7,3,3,3,8,10,10,5,6,4,7,NA,10,0,Male,8.333333333333334,3,7.142857142857143,NA
4,5,5,3,3,3,1,5,5,1,1,NA,4,2,2,8,Female,4.666666666666667,3,2.8333333333333335,middle
5,5,4,3,2,3,4,3,4,2,2,3,3,2,9,0,Male,4.666666666666667,2.6666666666666665,3,middle
5,5,5,3,3,3,7,7,10,5,5,5,5,4,7,4,Female,5,3,6.285714285714286,middle
5,7,5,3,3,2,7,7,10,6,6,6,5,5,10,5,Female,5.666666666666667,2.6666666666666665,6.714285714285714,middle
1,5,1,3,2,2,5,8,9,0,0,6,10,6,10,10,Female,2.3333333333333335,2.3333333333333335,5.428571428571429,middle
5,NA,4,3,3,3,10,10,10,10,8,7,7,NA,7,7,Female,4.5,3,8.857142857142858,NA
8,8,8,4,4,4,4,7,7,4,3,4,7,2,3,6,Female,8,4,5.142857142857143,middle
7,7,7,3,3,3,4,4,6,3,3,2,2,6,8,5,Male,7,3,3.4285714285714284,middle
9,10,8,3,3,3,7,7,7,7,7,6,5,3,8,6,Female,9,3,6.571428571428571,middle
9,9,8,3,3,3,8,9,9,6,5,7,7,3,9,0,Female,8.666666666666666,3,7.285714285714286,middle
3,1,2,4,3,2,0,0,8,0,2,0,2,6,8,10,Male,2,3,1.7142857142857142,middle
1,3,2,3,2,3,6,2,4,1,1,6,1,5,7,1,Male,2,2.6666666666666665,3,middle
